rok;q;consumption
1996;Q1;317606
1996;Q2;335963
1996;Q3;347861
1996;Q4;358124
1997;Q1;333062
1997;Q2;348423
1997;Q3;355213
1997;Q4;361535
1998;Q1;328168
1998;Q2;341805
1998;Q3;351551
1998;Q4;366985
1999;Q1;338884
1999;Q2;353887
1999;Q3;363325
1999;Q4;374871
2000;Q1;344552
2000;Q2;358906
2000;Q3;371652
2000;Q4;378635
2001;Q1;353041
2001;Q2;371039
2001;Q3;382211
2001;Q4;390703
2002;Q1;363329
2002;Q2;382186
2002;Q3;392621
2002;Q4;402866
2003;Q1;379330
2003;Q2;400026
2003;Q3;415675
2003;Q4;419813
2004;Q1;390148
2004;Q2;412152
2004;Q3;428179
2004;Q4;438870
2005;Q1;402971
2005;Q2;425952
2005;Q3;440133
2005;Q4;451744
2006;Q1;416247
2006;Q2;440786
2006;Q3;457428
2006;Q4;470017
2007;Q1;438476
2007;Q2;459976
2007;Q3;474517
2007;Q4;485513
2008;Q1;446519
2008;Q2;478187
2008;Q3;491018
2008;Q4;497405
2009;Q1;454829
2009;Q2;476425
2009;Q3;479351
2009;Q4;489635
2010;Q1;459104
2010;Q2;480605
2010;Q3;483134
2010;Q4;497099
2011;Q1;460712
2011;Q2;481663
2011;Q3;484964
2011;Q4;498192
2012;Q1;457202
2012;Q2;473650
2012;Q3;479254
2012;Q4;491266
2013;Q1;455713
2013;Q2;476743
2013;Q3;484256
2013;Q4;493508
2014;Q1;460025
2014;Q2;483430
2014;Q3;494783
2014;Q4;505702
2015;Q1;476723
2015;Q2;499416
2015;Q3;506825
2015;Q4;520902
2016;Q1;488473
2016;Q2;512771
