Datum;Otevírací cena;Denní maximum;Denní minimum;Předchozí kurz;Změna %;
"07.09.1993";"335,20";"335,20";"335,20";"335,20";"-";
"14.09.1993";"335,20";"335,20";"329,00";"329,00";"-1,85 %";
"21.09.1993";"329,00";"329,40";"329,00";"329,40";"+0,12 %";
"28.09.1993";"329,40";"333,10";"329,40";"333,10";"+1,12 %";
"05.10.1993";"333,10";"340,00";"333,10";"340,00";"+2,07 %";
"12.10.1993";"340,00";"372,70";"340,00";"372,70";"+9,62 %";
"19.10.1993";"372,70";"414,80";"372,70";"414,80";"+11,30 %";
"26.10.1993";"414,80";"451,70";"414,80";"451,70";"+8,90 %";
"02.11.1993";"451,70";"524,10";"451,70";"524,10";"+16,03 %";
"04.11.1993";"524,10";"611,30";"524,10";"611,30";"+16,64 %";
"09.11.1993";"611,30";"661,50";"611,30";"661,50";"+8,21 %";
"11.11.1993";"661,50";"662,80";"661,50";"662,80";"+0,20 %";
"16.11.1993";"662,80";"665,40";"662,80";"665,40";"+0,39 %";
"18.11.1993";"665,40";"665,40";"638,60";"638,60";"-4,03 %";
"23.11.1993";"638,60";"638,60";"619,50";"619,50";"-2,99 %";
"25.11.1993";"619,50";"619,50";"608,60";"608,60";"-1,76 %";
"30.11.1993";"608,60";"617,10";"608,60";"617,10";"+1,40 %";
"02.12.1993";"617,10";"643,70";"617,10";"643,70";"+4,31 %";
"07.12.1993";"643,70";"648,40";"643,70";"648,40";"+0,73 %";
"09.12.1993";"648,40";"657,70";"648,40";"657,70";"+1,43 %";
"14.12.1993";"657,70";"678,70";"657,70";"678,70";"+3,19 %";
"16.12.1993";"678,70";"705,20";"678,70";"705,20";"+3,90 %";
"06.01.1994";"705,20";"756,50";"705,20";"756,50";"+7,27 %";
"11.01.1994";"756,50";"810,30";"756,50";"810,30";"+7,11 %";
"13.01.1994";"810,30";"856,80";"810,30";"856,80";"+5,74 %";
"18.01.1994";"856,80";"918,30";"856,80";"918,30";"+7,18 %";
"20.01.1994";"918,30";"979,60";"918,30";"979,60";"+6,68 %";
"25.01.1994";"979,60";"1037,00";"979,60";"1037,00";"+5,86 %";
"27.01.1994";"1037,00";"1109,70";"1037,00";"1109,70";"+7,01 %";
"01.02.1994";"1109,70";"1135,80";"1109,70";"1135,80";"+2,35 %";
"03.02.1994";"1135,80";"1135,80";"1115,30";"1115,30";"-1,80 %";
"08.02.1994";"1115,30";"1115,30";"1096,60";"1096,60";"-1,68 %";
"10.02.1994";"1096,60";"1096,60";"1090,20";"1090,20";"-0,58 %";
"15.02.1994";"1090,20";"1126,40";"1090,20";"1126,40";"+3,32 %";
"17.02.1994";"1126,40";"1156,50";"1126,40";"1156,50";"+2,67 %";
"22.02.1994";"1156,50";"1172,90";"1156,50";"1172,90";"+1,42 %";
"24.02.1994";"1172,90";"1215,80";"1172,90";"1215,80";"+3,66 %";
"01.03.1994";"1215,80";"1244,70";"1215,80";"1244,70";"+2,38 %";
"03.03.1994";"1244,70";"1244,70";"1212,00";"1212,00";"-2,63 %";
"08.03.1994";"1212,00";"1212,00";"1158,20";"1158,20";"-4,44 %";
"10.03.1994";"1158,20";"1194,60";"1158,20";"1194,60";"+3,14 %";
"14.03.1994";"1194,60";"1194,60";"1186,90";"1186,90";"-0,64 %";
"15.03.1994";"1186,90";"1186,90";"1159,40";"1159,40";"-2,32 %";
"17.03.1994";"1159,40";"1159,40";"1134,40";"1134,40";"-2,16 %";
"21.03.1994";"1134,40";"1134,40";"1118,40";"1118,40";"-1,41 %";
"22.03.1994";"1118,40";"1118,40";"1036,90";"1036,90";"-7,29 %";
"24.03.1994";"1036,90";"1036,90";"1029,30";"1029,30";"-0,73 %";
"28.03.1994";"1029,30";"1052,70";"1029,30";"1052,70";"+2,27 %";
"29.03.1994";"1052,70";"1052,70";"1024,30";"1024,30";"-2,70 %";
"31.03.1994";"1024,30";"1024,30";"1020,60";"1020,60";"-0,36 %";
"05.04.1994";"1020,60";"1020,60";"1000,00";"1000,00";"-2,02 %";
"07.04.1994";"1000,00";"1002,40";"1000,00";"1002,40";"+0,24 %";
"11.04.1994";"1002,40";"1002,40";"999,00";"999,00";"-0,34 %";
"12.04.1994";"999,00";"999,00";"991,40";"991,40";"-0,76 %";
"14.04.1994";"991,40";"991,40";"975,00";"975,00";"-1,65 %";
"18.04.1994";"975,00";"975,00";"943,10";"943,10";"-3,27 %";
"19.04.1994";"943,10";"943,10";"918,80";"918,80";"-2,58 %";
"21.04.1994";"918,80";"918,80";"897,70";"897,70";"-2,30 %";
"25.04.1994";"897,70";"897,70";"892,90";"892,90";"-0,53 %";
"26.04.1994";"892,90";"892,90";"864,00";"864,00";"-3,24 %";
"28.04.1994";"864,00";"864,00";"859,40";"859,40";"-0,53 %";
"02.05.1994";"859,40";"859,40";"855,80";"855,80";"-0,42 %";
"03.05.1994";"855,80";"855,80";"849,90";"849,90";"-0,69 %";
"05.05.1994";"849,90";"849,90";"842,50";"842,50";"-0,87 %";
"09.05.1994";"842,50";"842,70";"842,50";"842,70";"+0,02 %";
"10.05.1994";"842,70";"842,70";"829,60";"829,60";"-1,55 %";
"12.05.1994";"829,60";"829,60";"817,20";"817,20";"-1,49 %";
"16.05.1994";"817,20";"817,20";"816,70";"816,70";"-0,06 %";
"17.05.1994";"816,70";"816,70";"800,50";"800,50";"-1,98 %";
"19.05.1994";"800,50";"800,50";"785,70";"785,70";"-1,85 %";
"23.05.1994";"785,70";"785,70";"783,70";"783,70";"-0,25 %";
"24.05.1994";"783,70";"783,70";"770,20";"770,20";"-1,72 %";
"26.05.1994";"770,20";"770,20";"756,90";"756,90";"-1,73 %";
"30.05.1994";"756,90";"756,90";"736,20";"736,20";"-2,73 %";
"31.05.1994";"736,20";"736,20";"707,10";"707,10";"-3,95 %";
"02.06.1994";"707,10";"707,10";"667,80";"667,80";"-5,56 %";
"06.06.1994";"667,80";"667,80";"642,80";"642,80";"-3,74 %";
"07.06.1994";"642,80";"642,80";"639,00";"639,00";"-0,59 %";
"09.06.1994";"639,00";"639,00";"638,60";"638,60";"-0,06 %";
"13.06.1994";"638,60";"657,80";"638,60";"657,80";"+3,01 %";
"14.06.1994";"657,80";"673,30";"657,80";"673,30";"+2,36 %";
"16.06.1994";"673,30";"688,50";"673,30";"688,50";"+2,26 %";
"20.06.1994";"688,50";"718,30";"688,50";"718,30";"+4,33 %";
"21.06.1994";"718,30";"747,50";"718,30";"747,50";"+4,07 %";
"23.06.1994";"747,50";"750,90";"747,50";"750,90";"+0,45 %";
"27.06.1994";"750,90";"750,90";"744,70";"744,70";"-0,83 %";
"28.06.1994";"744,70";"744,70";"719,10";"719,10";"-3,44 %";
"30.06.1994";"719,10";"719,10";"679,90";"679,90";"-5,45 %";
"07.07.1994";"679,90";"692,80";"679,90";"692,80";"+1,90 %";
"11.07.1994";"692,80";"711,80";"692,80";"711,80";"+2,74 %";
"12.07.1994";"711,80";"711,80";"704,30";"704,30";"-1,05 %";
"14.07.1994";"704,30";"706,60";"704,30";"706,60";"+0,33 %";
"18.07.1994";"706,60";"706,90";"706,60";"706,90";"+0,04 %";
"19.07.1994";"706,90";"706,90";"703,70";"703,70";"-0,45 %";
"21.07.1994";"703,70";"703,70";"702,40";"702,40";"-0,18 %";
"25.07.1994";"702,40";"702,40";"697,40";"697,40";"-0,71 %";
"26.07.1994";"697,40";"699,80";"697,40";"699,80";"+0,34 %";
"28.07.1994";"699,80";"714,30";"699,80";"714,30";"+2,07 %";
"01.08.1994";"714,30";"714,70";"714,30";"714,70";"+0,06 %";
"02.08.1994";"714,70";"714,70";"714,10";"714,10";"-0,08 %";
"04.08.1994";"714,10";"715,30";"714,10";"715,30";"+0,17 %";
"08.08.1994";"715,30";"719,90";"715,30";"719,90";"+0,64 %";
"09.08.1994";"719,90";"725,40";"719,90";"725,40";"+0,76 %";
"11.08.1994";"725,40";"725,40";"724,80";"724,80";"-0,08 %";
"15.08.1994";"724,80";"727,10";"724,80";"727,10";"+0,32 %";
"16.08.1994";"727,10";"727,30";"727,10";"727,30";"+0,03 %";
"18.08.1994";"727,30";"728,10";"727,30";"728,10";"+0,11 %";
"22.08.1994";"728,10";"730,90";"728,10";"730,90";"+0,38 %";
"23.08.1994";"730,90";"730,90";"722,00";"722,00";"-1,22 %";
"25.08.1994";"722,00";"722,00";"721,80";"721,80";"-0,03 %";
"29.08.1994";"721,80";"721,80";"717,10";"717,10";"-0,65 %";
"30.08.1994";"717,10";"718,70";"717,10";"718,70";"+0,22 %";
"01.09.1994";"718,70";"721,00";"718,70";"721,00";"+0,32 %";
"05.09.1994";"721,00";"725,20";"721,00";"725,20";"+0,58 %";
