date;cons_un
30.06.16;538293
31.03.16;536182
31.12.15;533253
30.09.15;528367
30.06.15;526876
31.03.15;521642
31.12.14;518984
30.09.14;513754
30.06.14;507983
31.03.14;503300
31.12.13;501518
30.09.13;499020
30.06.13;498560
31.03.13;497226
31.12.12;494445
30.09.12;492370
30.06.12;491011
31.03.12;492216
31.12.11;492898
30.09.11;487438
30.06.11;486842
31.03.11;483539
31.12.10;483496
30.09.10;477464
30.06.10;479655
31.03.10;478333
31.12.09;471336
30.09.09;467258
30.06.09;476483
31.03.09;476678
31.12.08;477341
30.09.08;476061
30.06.08;472186
31.03.08;460517
31.12.07;448630
30.09.07;440773
30.06.07;433320
31.03.07;427604
31.12.06;415768
30.09.06;412851
30.06.06;405742
31.03.06;397769
31.12.05;395689
30.09.05;388062
30.06.05;381978
31.03.05;378222
31.12.04;377624
30.09.04;373812
30.06.04;367020
31.03.04;361680
31.12.03;352850
30.09.03;348281
30.06.03;347195
31.03.03;342094
31.12.02;336139
30.09.02;330289
30.06.02;330943
31.03.02;328036
31.12.01;325207
30.09.01;321942
30.06.01;315904
31.03.01;307732
31.12.00;303220
30.09.00;302183
30.06.00;295693
31.03.00;290752
31.12.99;291212
30.09.99;282700
30.06.99;281584
31.03.99;275584
31.12.98;275907
30.09.98;269357
30.06.98;266625
31.03.98;262557
31.12.97;257747
30.09.97;251946
30.06.97;246912
31.03.97;240168
31.12.96;232763
30.09.96;226190
30.06.96;220858
31.03.96;211830
31.12.95;203389
30.09.95;198188
30.06.95;188113
31.03.95;179521
