date;cons_adj
;
30.06.16;510267
31.03.16;509549
31.12.15;506602
30.09.15;502232
30.06.15;499471
31.03.15;496133
31.12.14;492994
30.09.14;487971
30.06.14;483444
31.03.14;479279
31.12.13;478774
30.09.13;477425
30.06.13;477388
31.03.13;476319
31.12.12;475287
30.09.12;474489
30.06.12;474804
31.03.12;476453
31.12.11;482791
30.09.11;479411
30.06.11;481144
31.03.11;480957
31.12.10;480092
30.09.10;475298
30.06.10;479997
31.03.10;483561
31.12.09;473715
30.09.09;470861
30.06.09;477657
31.03.09;478928
31.12.08;482464
30.09.08;479949
30.06.08;479096
31.03.08;470707
31.12.07;468824
30.09.07;466690
30.06.07;462736
31.03.07;461183
31.12.06;454037
30.09.06;449737
30.06.06;443832
31.03.06;438088
31.12.05;436269
30.09.05;431126
30.06.05;426817
31.03.05;425730
31.12.04;422987
30.09.04;420685
30.06.04;413453
31.03.04;410640
31.12.03;407077
30.09.03;407001
30.06.03;402205
31.03.03;398584
31.12.02;390221
30.09.02;385471
30.06.02;384442
31.03.02;380895
31.12.01;377520
30.09.01;377816
30.06.01;373945
31.03.01;368489
31.12.00;366196
30.09.00;367333
30.06.00;361258
31.03.00;359840
31.12.99;360265
30.09.99;358076
30.06.99;354699
31.03.99;355686
31.12.98;353203
30.09.98;345604
30.06.98;344536
31.03.98;344405
31.12.97;348903
30.09.97;348579
30.06.97;349994
31.03.97;350005
31.12.96;345621
30.09.96;342175
30.06.96;338282
31.03.96;332917
